"0";"V1041596.html";"Unknown";"Crawl space (Unknown)";"5";;;;"Air Conditioned";;;;;;"Detached";"set in desirable lakecrest atop the highest point in the development and overlooking alta lake this contemporary mountain estate home promises a lifetime of unobstructed views from every room the living area is open and airy with cantilevered great room exposed beams architectural glass walls brazilian cherry wide plank hardwood floors maple millwork and native sandstone all coming together in a pristine palette with five spacious bedrooms including a top floor master suite it offers every modern luxury at the touch of a button"
"0";"10094899.html";;;"5";;;;;"Unknown";"Other";"Ground Source Heat";"Wood";"Conventional";"Conventional";"the majestic crown jewel of the okanagans big white ski resort with 10000 square feet of luxurious living space hand crafted by pioneer log homes the award winning white spirit lodge is considered to be one of the most beautiful log homes in the world it was designed around massive old growth cedar logs rescued and salvaged from storms oceans and fires all the logs were hand scribed to reveal their true beauty and eternal history of the tree with a castle appearance in mind rundle stones were selected to give texture and strength and add to the mountainous feel the heart of this home was created to enable conversation to easily flow and allow a vieworientated design to accentuate the consistent seamless connection with mother nature with views of the towering triple sided old world stone fireplace grand entry colossal great room and builtin wine bar entertaining is a delight although the home is magnificent in size each area offers a warm tranquil experience to reflect with the connection of uniting the two natural environments the home and nature the white spirit lodge has been gifted with every upgrade imaginable from cherry cabinetry golden granite sub zero  wolf appliances black african walnut floors cobalt glass sinks to mirror the illusion of water bronze dualtiered chandeliers custom made timber and stone staircases with motion sensored lighting that captures a dungeness theme call justin oconnor at 2508269961 okanaganluxuryca"
"0";"V1122664.html";"Unknown";"Unknown (Finished)";"6";;;;"Air Conditioned, Unknown";;;;;;"Detached";"custom built home in kerrisdale with luxurious interior design this beautiful home boasts over 4200 square ft living space features double height living room beautiful hardwood flooring gourmet kitchen  wok kit with topoftheline appliances high end cabinetry granite countertops  backsplash ac hrv radiant floor heating upstairs with 3 bedrooms all ensuites south facing master bedroom with spalike bath basement has a huge rec room with wet bar media room guest bedroom sauna room 3car garage  beautifully landscaped garden 1 block to elm park and few blocks to crofton school house kerrisdale elem catchments close to point grey sec shopping restaurants cafe and banks along 41st ave"
"0";"N3173212.html";"Walk out";"N/A (Finished)";"9";"6";"5";"1";"Central air conditioning";"Stone";"Natural gas";"Forced air";;;"Detached";"true gem in the most soughtafter area of richmond hill 6988 sf above grade of luxury finishesmagnificently sized roomshigh ceilingsdecorative mouldingsmarble  hardwood flrsand large windows outstanding millwork throughout chefinspired gourmet kit wbfast area  wo to terr stunning 2323 sf lower level whome theatre rmexercise rmwine cellar nannys quarters move in and live your dreams  extras  subzero fridge wolf gas cooktop  double oven bosch dishwasher elevator cameras alarm washer  dryer sauna heated floors sprinklers speakers"
"0";"V1109972.html";"Unknown";"None (Unknown)";"6";;;;"Air Conditioned";;;;;;"Detached";"perched atop a dramatic hillside this contemporary rancher capitalizes on a stunning setting with its simple and beautiful design the 4600 square foot home sits on 206 acres alongside a picturesque 25foot waterfall amidst mature trees with spectacular views of the tantalus range a grand approach brings you to the front entrance nestled between the homes two wings to the right five bedrooms await family and friends with dual masters and an ensuite for each space and to the left open concept living media room and access out to the expansive private terrace the sundance was designed by north architecture and built by vision pacific leaders in modern mountain estates"
"0";"10090891.html";;"Full (Finished)";"7";;;;"Heat Pump, Central air conditioning";"Stucco";"Natural gas";"Forced air";"Gas";"Conventional";"Conventional";"spectacular design decor craftsmanship  technology in perfect unison 108 lush partially irrigated acres in the north bx valley enjoy your privacy wtwo cameraphone controlled iron gates add an 11500 sqft custom home with a contemporary exterior with grand portecochere entrance that reflects the luxury  comfort within f rom the raised grande piano platform clubstyle circular bar skyhigh ceilings and windows and state of the art kitchen that is only missing a chef the master suite is designed for undisturbed sleep  comes with an opulent ensuite impressive walkin closet  dressing room wpersonal laundry every room is a study in design  function check out the impressive library pool room wfireplace  fully opening glass doors full theatre room gym studio and 5 bay garage a cupola on the upper level offers a view over the property lake  valley hitech water sound lighting heating cooling  security systems with capability to be selfsustaining  off the grid the 807 sqft guest house is discreetly set away from the main home  is completely self contained the deluxe shop comes wbath  5 super sized doors for rv  toys helipad close by paved paths connect the stables hay tack  feed storage paddocks  pastures now check out the 84 x 224 arena w18 ceilings  fully finished inside  out this building is designed to be multifunctional w blow your mind sound system see okanaganhomescom or call 2505497050 for details"
"0";"481960135.html";;;"7";;;;;"Wood siding";;"No heat";;"Conventional";"Detached";"elegant beaumaris 4 ac isle1879 originsgraceful lands of mixed forests sweeping to grp of 7 rocky pnts capturing mesmerizing prestigious island dotted vistas sunrise to sunseta splendid great house w suites of bdrms  5 fps rests at the southern end serving up grand principal rms maple flrs timeless basswood int historic wicker clad sunrmcharming 3 bdrm 3 bath guest res arcs alongside a sandy play area w spacious swest dockin keeping with this majestic offering is the 4 bdrm antique boat collectors boaths handsomely housed by ancillary covered boatslipsan abundance of stately stonework lining finer grdns truly exemplifies the graciousness of this historic isl estate so close to shore that island living is but a breezeoffered for the 1st time in decades includes most finer furnishings marco isle reputed as one of beaumaris greatest and most treasured jewels provides room for generationsa passing of torches awaits for a new familys summer legacies to commence"
"0";"SJ152241.html";;;"6";;;;"Central air conditioning";"Stone";"Electric";"In Floor Heating, Radiant heat";"Gas";"Conventional";"Detached";"old world elegance prevails in this stone built waterfront estate located in the heart of rothesay new brunswick on the spectacular kennebecasis river handsome details enrich the well proportioned rooms with primary living space arranged for expansive river views and outdoor living and incredible sunsets an almost unheard of 45 acre site where private sandy beach front 250 feet on cudlips cove affords deep water anchorage in your backyard here a rare opportunity to make this your family address for generations to come golf course private schools and the centre of town a short walk away rothesay road to station rd to rothesay park"
"0";"F1426476.html";;"Full (Finished)";"8";;;;"Central air conditioning";;;;;;"Detached";"mountain view country estate like none other in the valley this exquisite property is the complete package for the discerning buyer who wants everything the home has had a major additionrenovation with only the finest materials and features money can buy it boasts over 15000 sqft of living space not including the indoor hockey rink as well as indoor pool and outdoor waterfall pool deluxe hip roof barn with 4 large birthing stalls riding ring paddock  massive studio above separate guest house covered parking for up to 10 cars or convert the rink to 5000 sqft garage 200 kilowatt generator air conditioning air exchangers  radiant heat spectacular great room and many sundecks and patios complete privacy nestled behind lush vegetation  hedges with 2 gates  thousands of feet of paved driveways with glorious mountain views this home is the epitome of luxury and design with far too many features to list view video and more photos"
"0";"V1104283.html";"Unknown";"Full (Unknown)";"7";;;;"Air Conditioned";;;;;;"Detached";"custom built quality home with contemporary and functional design in desirable mackenzie heights on a 50x130 lot with 4555 sf of living area open plan on mf with high ceiling big windows 2x2 marble flooring and crystal chandelliers throughout gourmet kitchenwok kitchen equipped with highend miele appliances generous family room overlooking south facing landscaped garden and patio 4 bedrooms up all with ensuites and hardwood flooring private sundeck off master bedroom for quiet enjoyment basement features hugh rec room media room wet bar wine cellar and two bedrooms the best school catchment prince of wales sec school and kitchener elem school close to crofton house and st georges private schools ubc dunbar community centre bus and shops dont miss this fabulous family home in a great"
