"15","5849 HUDSON ST, Vancouver, British Columbia   V6M2Z2
",,,,"$6,980,000 
","Listing ID: V1124248
","V1124248.html"
"16","2307 W 45TH AV, Vancouver, British Columbia   V6M2J5
",,,,"$4,668,000 
","Listing ID: V1124383
","V1124383.html"
"17","6451 GIBBONS DR, Richmond, British Columbia   V7C2C9
",,,,"$4,168,000 
","Listing ID: V1124747
","V1124747.html"
"18","1957 SW MARINE DR, Vancouver, British Columbia   V6P6B3
",,,,"$7,780,000 
","Listing ID: V1124792
","V1124792.html"
"19","1030 W 33RD AV, Vancouver, British Columbia   V6M1A2
",,,,"$4,688,000 
","Listing ID: V1124814
","V1124814.html"
"20","680 PARKSIDE RD, West Vancouver, British Columbia   V7S1P3
",,,,"$4,288,000 
","Listing ID: V1125023
","V1125023.html"
"21","1322 W KING EDWARD AV, Vancouver, British Columbia   V6H1Z9
",,,,"$4,500,000 
","Listing ID: V1125886
","V1125886.html"
"22","432 BOB-O-LINK RD, Mississauga, Ontario   L5J2P2
",,,,"$5,550,000 
","Listing ID: W2946072
","W2946072.html"
"23","1612 WATERSEDGE RD, Mississauga, Ontario   L5J1A4
",,,,"$5,488,000 
","Listing ID: W3093246
","W3093246.html"
"24","5126 LAKESHORE RD, Burlington, Ontario   L7L1B9
",,,,"$5,800,000 
","Listing ID: W3124013
","W3124013.html"
"25","433 THE KINGSWAY, Toronto, Ontario   M9A3W1
",,,,"$5,800,000 
","Listing ID: W3199234
","W3199234.html"
"26","73 VALECREST DR, Toronto, Ontario   M9A4P5
",,,,"$5,200,000 
","http://www.realtor.ca/propertyDetails.aspx?PropertyId=15712065
","W3209997.html"
"27","137 GANNET Lane , DUNCAN COVE, Nova Scotia   B3B3H4
",,,,"$4,495,000 
","Listing ID: 00390948
","00390948.html"
"28","1191 ROUTE 785, UTOPIA, NEW BRUNSWICK, New Brunswick   E5C2L3
",,,,"$9,650,000 
","Listing ID: 05337591
","05337591.html"
"29","6620 Lakeshore Road , Kelowna, British Columbia   V1W4J5
",,,,"$8,975,000 
","Listing ID: 10085286
","10085286.html"
"30","15686 Whiskey Cove Road , Lake Country, British Columbia   V4V1C4
",,,,"$7,500,000 
","Listing ID: 10086107
","10086107.html"
"31","1475 Pritchard Drive , West Kelowna, British Columbia   V4T1X4
",,,,"$7,995,000 
","Listing ID: 10086622
","10086622.html"
"32","1998 Abbott Street , Kelowna, British Columbia   V1Y1C3
",,,,"$4,495,000 
","Listing ID: 10090774
","10090774.html"
"33","5570 Lakeshore Road , Kelowna, British Columbia   V1W4T4
",,,,"$6,900,000 
","Listing ID: 10090865
","10090865.html"
